taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
3			Kingdom	Plantae		1		
147480	3		Phylum	Bryophyta				
368664	3		Phylum	Charophyta		1		
146217	368664		Class	Charophyceae		1		
179048	146217		Order	Charales		1		
599587	179048		Family	Aclistocharaceae				
179049	179048		Family	Characeae		1		
599599	179048		Family	Clavatoraceae				
599600	179048		Family	Porocharaceae				
422893	146217		Order	Coleochaetales				
422894	422893		Family	Coleochaetaceae				
494033	368664		Class	Charophyta incertae sedis				
368673	368664		Class	Klebsormidiophyceae		1		
22970	368673		Order	Klebsormidiales		1		
572034	22970		Family	Elakatotrichaceae				
368782	22970		Family	Klebsormidiaceae		1		
143752	22970		Family	Stichococcaceae		1		
599596	368664		Class	Mesostigmatophyceae				
599597	599596		Order	Chaetosphaeridiales				
599598	599597		Family	Chaetosphaeridiaceae				
599670	599596		Order	Mesostigmatales				
599671	599670		Family	Mesostigmataceae				
162685	368664		Class	Zygnematophyceae				
178967	162685		Order	Conjugales				
162693	162685		Order	Zygnematales				
178967		162693	Order	Conjugales				
573992	162693		Family	Closteriaceae				
162724	162693		Family	Desmidiaceae				
599730	162693		Family	Mesotaeniaceae				
493902	162693		Family	Peniaceae				
248136	162693		Family	Zygnemataceae				
368665	3		Phylum	Chlorarachniophyta		1		
368674	368665		Class	Chlorarachniophyceae		1		
368679	368674		Order	Chlorarachniales		1		
801	3		Phylum	Chlorophyta		1		
368675	801		Class	Bryopsidophyceae		1		
802	801		Class	Chlorophyceae		1		
803	802		Order	Acrosiphoniales		1		
22964	802		Order	Caulerpales		1		
368680	802		Order	Chaetopeltidales		1		
157128	368680		Family	Chaetopeltidaceae		1		
18608	802		Order	Chaetophorales		1		
558962	18608		Family	Aphanochaetaceae				
143675	18608		Family	Chaetophoraceae		1		
599595	18608		Family	Schizomeridaceae				
732333	802		Order	Chlamydomonadales				
17111		732333	Order	Chlorococcales		1		
599605	732333		Family	Actinochloridaceae				
599606	732333		Family	Characiosiphonaceae				
732334	732333		Family	Chlamydomonadales incertae sedis				
493880	732333		Family	Chlorochytriaceae				
143676	732333		Family	Chlorococcaceae		1		
577656	732333		Family	Chlorosarcinaceae				
163102	732333		Family	Coccomyxaceae				
599607	732333		Family	Cylindrocapsaceae				
178622	732333		Family	Dictyosphaeriaceae				
143677	732333		Family	Endosphaeraceae		1		
558964	732333		Family	Golenkiniaceae				
599608	732333		Family	Hormotilaceae				
599609	732333		Family	Hypnomonadaceae				
163476	732333		Family	Micractiniaceae				
599610	732333		Family	Protosiphonaceae				
599611	732333		Family	Rhopalosolenaceae				
599612	732333		Family	Scotiellocystoidaceae				
599613	732333		Family	Sphaerodictyaceae				
447747	732333		Family	Sphaeropleaceae				
576712	732333		Family	Treubariaceae				
17111	802		Order	Chlorococcales		1		
21243	802		Order	Chlorocystidales		1		
143678	21243		Family	Chlorocystidaceae		1		
577868	802		Order	Chlorophyceae incertae sedis				
599614	577868		Family	Chlorangiopsidaceae				
599615	577868		Family	Tetracystaceae				
22965	802		Order	Codiales		1		
599636	802		Order	Dunaliellales				
599637	599636		Family	Asteromonadaceae				
599638	599636		Family	Raciborskiellaceae				
22971	802		Order	Microsporales		1		
577721	802		Order	Oedogoniales				
577722	577721		Family	Oedogoniaceae				
21875	802		Order	Phaeophilales		1		
590352	802		Order	Protococcales				
558965	802		Order	Sphaeropleales				
22971		558965	Order	Microsporales		1		
558966	558965		Family	Ankistrodesmaceae				
599704	558965		Family	Bracteacoccaceae				
836369	558965		Family	Bracteamorphaceae				
164096	558965		Family	Characiaceae				
160560	558965		Family	Hydrodictyaceae				
143757	558965		Family	Microsporaceae		1		
558971	558965		Family	Neochloridaceae				
493879	558965		Family	Radiococcaceae				
836370	558965		Family	Rotundellaceae				
160541	558965		Family	Scenedesmaceae		1		
599705	558965		Family	Selenastraceae				
599706	558965		Family	Sphaeropleales incertae sedis				
836371	558965		Family	Tumidellaceae				
18537	802		Order	Tetrasporales		1		
599715	18537		Family	Characiochloridaceae				
599716	18537		Family	Chlorangiellaceae				
178922	18537		Family	Gloeocystaceae				
599717	18537		Family	Gloeodendraceae				
248168	18537		Family	Palmellaceae				
368891	18537		Family	Palmellopsidaceae		1		
599718	18537		Family	Sphaerocystidaceae				
143787	18537		Family	Tetrasporaceae		1		
18526	802		Order	Volvocales		1		
590352		18526	Order	Protococcales				
147696		18526	Order	Volvocida				
367249	18526		Family	Carteriaceae				
178973	18526		Family	Chlamydomonadaceae		1		
178975		178973	Family	Chlamidomonadidae				
599728	18526		Family	Dangeardinellaceae				
368897	18526		Family	Dunaliellaceae		1		
577668	18526		Family	Goniaceae				
428521	18526		Family	Haematococcaceae				
162734	18526		Family	Phacotaceae				
163120	18526		Family	Spondylomoraceae				
578344	18526		Family	Tetrabaenaceae				
143798	18526		Family	Volvocaceae		1		
599729	18526		Family	Volvocales incertae sedis				
369188	801		Class	Chlorophyta incertae sedis				
493835	801		Class	Mamiellophyceae				
493836	493835		Order	Dolichomastigales				
493886	493836		Family	Dolichomastigaceae				
17662	493835		Order	Mamiellales		1		
493889	17662		Family	Bathycoccaceae				
17663	17662		Family	Mamiellaceae		1		
578238	17662		Family	Monomastigaceae				
368676	801		Class	Nephroselmidophyceae		1		
368697	368676		Order	Nephroselmidales		1		
368875	368697		Family	Nephroselmidaceae		1		
368677	801		Class	Pedinophyceae		1		
146219	368677		Order	Pedinomonadales		1		
146218	146219		Family	Pedinomonadaceae		1		
368698	368677		Order	Scourfieldiales		1		
368888	368698		Family	Scourfieldiaceae		1		
368678	801		Class	Pleurastrophyceae		1		
368705	368678		Order	Pleurastrales		1		
368881	368705		Family	Pleurastraceae		1		
17329	801		Class	Prasinophyceae		1		
147697		17329	Order	Prasinomonadina				
17328		17329	Phylum	Prasinophyta		1		
17666	17329		Order	Chlorodendrales		1		
17667	17666		Family	Chlorodendraceae		1		
21004	17666		Family	Halosphaeraceae		1		
172812	17329		Order	Halosphaerales				
172813	172812		Family	Pterospermataceae				
368706	17329		Order	Prasinococcales		1		
368882	368706		Family	Prasinococcaceae		1		
599687	17329		Order	Prasinophyceae incertae sedis				
368707	17329		Order	Pseudoscourfieldiales		1		
22613	368707		Family	Pycnococcaceae		1		
17330	17329		Order	Pyramimonadales		1		
162924	17330		Family	Polyblepharidaceae		1		
368883	17330		Family	Pyramimonadaceae		1		
160573	801		Class	Trebouxiophyceae		1		
160574	160573		Order	Chlorellales				
160575	160574		Family	Chlorellaceae		1		
599601	160574		Family	Chlorellales incertae sedis				
599602	160574		Family	Ctenocladaceae				
599603	160574		Family	Eremosphaeraceae				
558970	160574		Family	Koliellaceae				
599604	160574		Family	Leptosiraceae				
160586	160573		Order	Microthamniales				
599672	160586		Family	Microthamniaceae				
493837	160573		Order	Oocystales				
160589	493837		Family	Oocystaceae		1		
820	160573		Order	Prasiolales		1		
143771	820		Family	Prasiolaceae		1		
599688	820		Family	Prasiolales incertae sedis				
599721	160573		Order	Trebouxiales				
493881	599721		Family	Botryococcaceae				
599722	599721		Family	Trebouxiaceae				
576703	160573		Order	Trebouxiophyceae ordo incertae sedis				
576704	576703		Family	Trebouxiophyceae incertae sedis				
146216	801		Class	Ulvophyceae		1		
368675		146216	Class	Bryopsidophyceae		1		
808	146216		Order	Bryopsidales		1		
143666	808		Family	Bryopsidaceae		1		
143668	808		Family	Caulerpaceae		1		
143669	808		Family	Chaetosiphonaceae		1		
143689	808		Family	Codiaceae		1		
143667	808		Family	Derbesiaceae		1		
368714	808		Family	Dichotomosiphonaceae		1		
368715	808		Family	Halimedaceae		1		
368716	808		Family	Ostreobiaceae		1		
368717	808		Family	Pseudocodiaceae		1		
599594	808		Family	Rhipiliaceae				
143670	808		Family	Udoteaceae		1		
813	146216		Order	Cladophorales		1		
143686	813		Family	Anadyomenaceae		1		
143687	813		Family	Cladophoraceae		1		
547536	813		Family	Okellyaceae				
707601	813		Family	Pithophoraceae				
707607	813		Family	Pseudocladophoraceae				
143688	813		Family	Witrockiellaceae		1		
325414	146216		Order	Codiolales		1		
325415	325414		Family	Codiolaceae		1		
18815	146216		Order	Dasycladales		1		
143702	18815		Family	Dasycladaceae		1		
143703	18815		Family	Polyphysaceae		1		
493838	146216		Order	Oltmannsiellopsidales				
493892	493838		Family	Oltmannsiellopsidaceae				
22974	146216		Order	Siphonocladales		1		
143778	22974		Family	Boodleaceae		1		
143779	22974		Family	Siphonocladaceae		1		
143780	22974		Family	Valoniaceae		1		
422888	146216		Order	Trentepohliales				
422889	422888		Family	Trentepohliaceae				
824	146216		Order	Ulotrichales		1		
143789	824		Family	Borodinellaceae		1		
380901	824		Family	Collinsiellaceae				
416376	824		Family	Gloeotilaceae				
196248	824		Family	Gomontiaceae		1		
143790	824		Family	Ulotrichaceae		1		
827	146216		Order	Ulvales		1		
493901	827		Family	Bolbocoleonaceae				
143791	827		Family	Capsosiphonaceae		1		
599725	827		Family	Cloniophoraceae				
368895	827		Family	Gayraliaceae		1		
368896	827		Family	Jaoaceae		1		
143792	827		Family	Kornmanniaceae		1		
143793	827		Family	Monostromataceae		1		
143764	827		Family	Phaeophilaceae		1		
143794	827		Family	Ulvaceae		1		
599726	827		Family	Ulvales incertae sedis				
143795	827		Family	Ulvellaceae		1		
599727	146216		Order	Ulvophyceae incertae sedis				
17166	3		Phylum	Chrysophyta		1		
153494	3		Phylum	Craspedophyta				
153495	153494		Class	Craspedophyceae				
19538	3		Phylum	Euglenophyta		1		
599656	3		Phylum	Glaucophyta				
599657	599656		Class	Glaucophyceae				
599658	599657		Order	Glaucocystales				
599659	599658		Family	Glaucocystaceae				
742162	3		Phylum	Marchantiophyta				
426113	742162		Subdivision	Marchantiophytina				
426114	426113		Class	Marchantiopsida				
426115	426114		Subclass	Jungermanniidae				
426116	426115		Order	Metzgeriales				
426117	426116		Family	Pallaviciniaceae				
503066	3		Phylum	Plantae incertae sedis				
17328	3		Phylum	Prasinophyta		1		
21002	3		Phylum	Prymnesiophyta		1		
234484	3		Phylum	Pteridophyta				
596327	234484		Subdivision	Pteridophytina				
