taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
10143	10141		Family	Trebouxiaceae				
1011	101		Class	Ulvophyceae		1		
1012		1011	Class	Bryopsidophyceae		1		
10144	1011		Order	Bryopsidales		1		
10145	10144		Family	Bryopsidaceae		1		
10146	10144		Family	Caulerpaceae		1		
10147	10144		Family	Chaetosiphonaceae		1		
10148	10144		Family	Codiaceae		1		
10149	10144		Family	Derbesiaceae		1		
10150	10144		Family	Dichotomosiphonaceae		1		
10151	10144		Family	Halimedaceae		1		
10152	10144		Family	Ostreobiaceae		1		
10153	10144		Family	Pseudocodiaceae		1		
10154	10144		Family	Rhipiliaceae				
10155	10144		Family	Udoteaceae		1		
10156	1011		Order	Cladophorales		1		
10157	10156		Family	Anadyomenaceae		1		
10158	10156		Family	Cladophoraceae		1		
10159	10156		Family	Okellyaceae				
10160	10156		Family	Pithophoraceae				
10161	10156		Family	Pseudocladophoraceae				
10162	10156		Family	Witrockiellaceae		1		
10163	1011		Order	Codiolales		1		
10164	10163		Family	Codiolaceae		1		
10165	1011		Order	Dasycladales		1		
10166	10165		Family	Dasycladaceae		1		
10167	10165		Family	Polyphysaceae		1		
10168	1011		Order	Oltmannsiellopsidales				
10169	10168		Family	Oltmannsiellopsidaceae				
10170	1011		Order	Siphonocladales		1		
10171	10170		Family	Boodleaceae		1		
10172	10170		Family	Siphonocladaceae		1		
10173	10170		Family	Valoniaceae		1		
10174	1011		Order	Trentepohliales				
10175	10174		Family	Trentepohliaceae				
10176	1011		Order	Ulotrichales		1		
10177	10176		Family	Borodinellaceae		1		
10178	10176		Family	Collinsiellaceae				
10179	10176		Family	Gloeotilaceae				
10180	10176		Family	Gomontiaceae		1		
10181	10176		Family	Ulotrichaceae		1		
10182	1011		Order	Ulvales		1		
10183	10182		Family	Bolbocoleonaceae				
10184	10182		Family	Capsosiphonaceae		1		
10185	10182		Family	Cloniophoraceae				
10186	10182		Family	Gayraliaceae		1		
10187	10182		Family	Jaoaceae		1		
10188	10182		Family	Kornmanniaceae		1		
10189	10182		Family	Monostromataceae		1		
10190	10182		Family	Phaeophilaceae		1		
10191	10182		Family	Ulvaceae		1		
10192	10182		Family	Ulvellaceae		1		

