taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
7			Kingdom	Chromista	None	1	None	None
148740	None	7	Subkingdom	Stramenopila	None	1	None	None
598929	7	None	Subkingdom	Chromista incertae sedis	None	None	None	None
368660	7	None	Subkingdom	Chromobiota	None	1	None	None
369189	368660	None	Infrakingdom	Haptista	None	None	None	None
368661	7	None	Subkingdom	Cryptista	None	1	None	None
582418	7	None	Subkingdom	Hacrobia	None	None	None	None
17638	582418	None	Phylum	Cryptophyta	None	1	None	None
368661	None	17638	Subkingdom	Cryptista	None	1	None	None
146220	17638	None	Subphylum	Cryptomonada	None	1	None	None
17639	17638	None	Class	Cryptophyceae	None	1	None	None
17640	17639	None	Order	Cryptomonadales	None	1	None	None
147420	None	17640	Order	Cryptomonadida	None	None	None	None
150288	None	17640	Family	Cyathomonadidae	None	None	None	None
22576	17640	None	Family	Campylomonadaceae	None	1	None	None
17644	17640	None	Family	Cryptomonadaceae	None	1	None	None
150286	None	17644	Family	Cryptomonadidae	None	None	None	None
162802	17640	None	Family	Cyathomonadaceae	None	None	None	None
17641	17640	None	Family	Hemiselmidaceae	None	1	None	None
178563	17640	None	Family	Hilleaceae	None	None	None	None
22707	17639	None	Order	Cryptophyceae incertae sedis	None	1	None	None
20997	17639	None	Order	Pyrenomonadales	None	1	None	None
20998	20997	None	Family	Chroomonadaceae	None	1	None	None
22582	20997	None	Family	Geminigeraceae	None	1	None	None
20999	20997	None	Family	Pyrenomonadaceae	None	1	None	None
582423	17639	None	Order	Tetragonidiales	None	None	None	None
599714	582423	None	Family	Tetragonidiaceae	None	None	None	None
598944	17638	None	Class	Cryptophyta incertae sedis	None	None	None	None
599623	598944	None	Family	Katablepharidaceae	None	None	None	None
146152	None	599623	Family	Kathablepharidae	None	1	None	None
582422	17638	None	Class	Goniomonadophyceae	None	None	None	None
22578	582422	None	Order	Goniomonadales	None	1	None	None
22579	22578	None	Family	Goniomonadaceae	None	1	None	None
582424	17638	None	Class	Katablepharidophyceae	None	None	None	None
